Apple 아이폰 13 256GB [자급제],"1,149,950원",https://cr.shopping.naver.com/adcr.nhn?x=gyYirNCdJcWbYGylnwGgEf%2F%2F%2Fw%3D%3DswlVs2R0IyhBAHjwlbdCdHbpQ1Q4D7%2BVlwz0a5mnNpLxhJz9H0Ub4KLvuVTVtNMxMksCt8h9%2FAWdn5Y8pWPagEc2YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnqXKJBKazWTMr3TF%2BX7oeAGbix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGHmDfqcOuzixyu%2FgG1yK72nz%2BW1R6bbqRnUCfQXLuR7JG1fUqIZ7CTqeNBeEUiuIjWm5dJXt8gUq76%2FCZLOKtmculMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqAZJF45uZ9FXDr149XnEtBLPU6pntGCurhu%2FV8uonTYh5X6MB3JdbnBohOi8QY2mspC23Z5uXYbEvFVVE68DuWEOjcHk36MX6oL3hTO4sEkm2AKC7xMfogRMj0hH4kgpdy63LMod%2FaLK9VfLVXbrvaaPovIzEQ5w0AqiLXlGiGwkQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=29029192591&catId=50001519
Apple 아이폰 13 미니 128GB [자급제],"870,000원",https://cr.shopping.naver.com/adcr.nhn?x=wQnQJBGq4g6Ca6xA2dOHCv%2F%2F%2Fw%3D%3DszF%2BqMk1XRVVooq5HNB6AW1qhwcrvXz5d1bW2%2F5f%2BegJWQE1WikGGRjsm7ORTamZ7%2BmLOPiNaKhIF%2BhakuqQM8TSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGoDvSF0ti4vm%2FgippbT9zgPKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv72QzFxrLdvusL1Wm%2BUD2GCzaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rCmT%2F8qts%2FDucK1%2FRh%2BGGGWxyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QB9f04SLzEOLuWyApwkiBtsEN%2FOXq06xFLlMCwNDQObjPLcqEhOiscytOptfh0D9%2BArlrx59R3Nvvt16TdbHapMSBiRzVjqw7wvVxJ7%2B1U9BWj%2FaM5nVf1rOXk0fVU4woW7ldbpNv7PV9yKmgaXDOr%2FIDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=29030650586&catId=50001519
Apple 아이폰 13 프로 256GB [자급제],"1,384,970원",https://cr.shopping.naver.com/adcr.nhn?x=U%2FMsG%2FWXfLGaO7M%2Br0b1FP%2F%2F%2Fw%3D%3DsYk%2BCHLJ6z12OZ2kKtlXkFjm1RE9z2b4yORVj9izZoH5hJz9H0Ub4KLvuVTVtNMxMELt5LumXUNYtcMdFxTK8Gc2YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnq6b4twwZe%2FXnN8SL9cd67Sbix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGCDUI41kVKfPjLg2ddeg%2F7MncNvTLYFqI8oCr%2FwqYPU9G1fUqIZ7CTqeNBeEUiuIjZhwLgdT%2F8hY%2BuUd6vK6tXgulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqE%2FTBHXcHAY4bdlnuCLZd9N6jvySWdAuqdDBn5xzOS4Io64ifB9DVeZ8ffla9GlFds9xDnKdwQAtRVLIK7Ilcz1TlGsORlShQOjeATbuLp2xEs8cFUTVf2EXpmSuc9bAhKXlCmGS9JwUwQgihKh2e3CXPfLkMxHc5Th%2BcFMW%2FMiAQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=29030492586&catId=50001519
Apple 아이폰 13 프로 128GB [자급제],"1,255,000원",https://cr.shopping.naver.com/adcr.nhn?x=7oozSFsmo9di7RVSxXDIov%2F%2F%2Fw%3D%3Dser6%2BOMuTpQn1OBqDvn8swHnWpOJyVLr7IPu%2FMHQ%2FUyRhJz9H0Ub4KLvuVTVtNMxM%2FQ0Hlv%2FJ1KSo3GV0RI8lp82YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnquNUGE%2F8E2Wl6h%2B8WEwxe9bix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGN%2BAHyURxAIL3rMZTeVRjyiQlKoTW7oBR5S4e5%2FFeRPiG1fUqIZ7CTqeNBeEUiuIjQupWn%2BoS37JHmoJaqivtbsulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqL7TYp%2Fq8N0dYeLWf3iUY%2FG9lbCAHUgYx7U3V2HOvd43o64ifB9DVeZ8ffla9GlFdsF5Xga5saN0CviJ4QxW0B2Ubz2E6h4dNE8yAecRi1YtEs8cFUTVf2EXpmSuc9bAhFj3lJdsdYIPFVuulaYPuyyBAI%2F9sQRO2Am9a%2BRTB%2Fq9QdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=29030420587&catId=50001519
Apple 아이폰 13 128GB [자급제],"1,009,450원",https://cr.shopping.naver.com/adcr.nhn?x=6%2FHy3tkDhw7z0cAkYsEKa%2F%2F%2F%2Fw%3D%3DsD0dWIdVJjqP52Y7QWq4ay5vLCZE3FkYburAoZafSjmtWQE1WikGGRjsm7ORTamZ7NaqR%2F1uUGr9QHIvIpxhM1DSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWG7TgBVo8UmYdzXRq3xjDWuvKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5fY%2BwIr4HPwom%2BPEgPLH9azaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rMgcU01wvNxh7fRDqkbVT%2BixyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QByXOgYtW9uI4lT45GrDygl1D%2FkFMO4s7sTx4sbc7XXXQvaOjGxMtdSZf0nL3LrxHbOnSGj72HwEXe%2Fm4bEnRW8dPwCXFJiRdosf3os3K%2FWn1M00KKzWvaJF4obv2un1IbNIPY1U9Yrn3rRIMirnkS8toaKZHilHbuauHUigNM5KA&nvMid=29030374587&catId=50001519
Apple 아이폰 13 프로 맥스 256GB [자급제],"1,498,780원",https://cr.shopping.naver.com/adcr.nhn?x=SWLvx%2Fx1CtDnlIp5Q%2FIWb%2F%2F%2F%2Fw%3D%3DsDxdmpENWkJJyWJgFLtO1zr5zg1yAzfGY%2FOwCYMZNbu8bsBKbbjTB%2BBCjsLv6tz%2BjEaqUj0WhOgwaoeFltg%2Fq0%2FbqgPFUtIBLpcBSK4bwJzYtzjoIiX%2FlqLy27tf42drpTB%2F8ysG47u71XwxWicFn10gAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMUBSRNe5ZyGuyhkwLhP0AEuzQZD6UDT51Dg8nNb9lI8fV%2BFLPJmN7kd5F0maTGsL0cI2yMpyMwWAWUy7guj5HsTkuXqjy6IxZGqO5S%2FOnjiuLffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeKaxg5%2FVEZM4I3E9ENsR2p8i5%2B6sQIThqy%2BkIFv60mIX6nYt0P5vFdgOY0ddt5wMGW4osamkyi85iDpDHoVfQWTCHJicsJEeUMpeBKOSffdWQ5NpxzD%2BGh1Qsf3DjaBN7lca8pJnVAllZ%2FEl77tED7QDAvFUWcQ2OHIyCM%2Bq1sGI5RPNCjcG3zcXpELBiXo0ZLE14c3ipMp8JVeYhuNm1MPkT7s2GMaf7lDT3rmmp%2BSrN%2Fs3NBI9ihUgEukWvhab5%2B%2Bf1DxweGPpIz%2F98uGJCfcWDXx2eHYxjXdI%2BBB9EuFEV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=29030294588&catId=50001519
Apple 아이폰 13 미니 256GB [자급제],"1,010,000원",https://cr.shopping.naver.com/adcr.nhn?x=5TUi7bmEGQ31QUITtvXvOP%2F%2F%2Fw%3D%3Dsc97yvF3u%2FaGvRLOD%2Br4bqslgtitpVlP0qKOeJIbo%2FFRWQE1WikGGRjsm7ORTamZ7d198v5fJ4OjpKAU6ZzFJMDSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGEhUbZ%2FNZ8avqUf6HuykXvPKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv6%2BX5BWwAN4QyFSAdDhiCvuzaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rJIbznYzt7q361MzbMXAOJ6xyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QBy76f1u%2BWE%2Bs3CkM%2BRiNFL0N%2FOXq06xFLlMCwNDQObjPLcqEhOiscytOptfh0D9%2BAsyCuKPFO0fKK5q0GP0XvGM5GdtGqvadh5IXeXcnfY0Jv4YGjJCSIW1IvBxXT1wG93%2BNR2IHBgT0Z6027gsLsNRvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=29030437590&catId=50001519
Apple 아이폰 13 프로 맥스 128GB [자급제],"1,389,850원",https://cr.shopping.naver.com/adcr.nhn?x=invnyiNc3O0aan8dY8B4YP%2F%2F%2Fw%3D%3DswG%2FVVeZVRCWTjMthIqOJwxYPqek0Ox79vKGSLeG%2BkdBhJz9H0Ub4KLvuVTVtNMxMwHRbROI%2BhOxhvkrK2x52JM2YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnqnCfUWv5T09LdwRr0l79u4rix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGP8AMTpH%2BFWVcu9mZ5kzxb9tJphQBHk6ArjkfIoV%2FnSvG1fUqIZ7CTqeNBeEUiuIjXL4IO%2BkwXhFGD2xRZg%2Bqv4ulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqB9aPs60XaAs0yLnBVw2nhql326wx%2BOBi%2FHvmYYoH8Jf9SbZ8hVfDg%2BwZ4LZfMdEL35vCOPi8KsZBIq4UovLs%2FwyuDZG%2FJyN2QB12EGvt1pa71tqtWQablf%2F77SlIExh57U%2BYkdmHREYjCKuM1wa2dqaYvDVcHPEvspjfNUNIn0RzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=29030367587&catId=50001519
Apple 아이폰 13 프로 512GB [자급제],"1,609,890원",https://cr.shopping.naver.com/adcr.nhn?x=YgJyJ3R9HBJKj6ha9g2Frf%2F%2F%2Fw%3D%3DsMrWuZnApi0EYCVG6km4fME0gVS8n2OiMjRGg5TOxfyVWQE1WikGGRjsm7ORTamZ7Tv5l2SieqEX4JxM36WhjIDSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGidrGyrdYG9xYKiUSnB31wfKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv%2FxWF5I1ZqMtNxq6I7aKMFOzaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rG3idFNp1uFUR3HkGvcrREaxyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QB4477o7USeaHMDW4VjUWS80N%2FOXq06xFLlMCwNDQObjPLcqEhOiscytOptfh0D9%2BAjVQgYNCE1yTgJa5XSmW8kK8vdyy6VaoG8ShdWbwy2kxv4YGjJCSIW1IvBxXT1wG99vUrOKkbgbzF97jSZ4ImOtvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=29030416587&catId=50001519
Apple 아이폰 13 프로 맥스 512GB [자급제],"1,724,500원",https://cr.shopping.naver.com/adcr.nhn?x=jB3RoKnlLHoPZDb04w2dtf%2F%2F%2Fw%3D%3DsUtCtJzLib5WJM0uK%2BdMIyUm1kV9eo5X6zTn%2FFGstfrJWQE1WikGGRjsm7ORTamZ7XIyUh9UEr65nsGNWXne4lDSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGOUisOr%2FsrM0gmiALHeCsDvKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv5KuaxyNzx%2FawQEtK29DhKCzaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rBlJPe3j5b5TImvYQcfvLT6xyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QB9KPcVZ%2FKrjPa0MWs5Dn6qSO%2FTmDzyWk%2F15Svlrc3SxOJQ7%2B%2B64EKB%2FCwjrIJoRho2LyPDWRgylYE96MH4EkL2YdFkWGtWakTVzedZwCzKiSDWrhHEcp0p%2F%2FKKziu53PdNvSfrxHnUzpP8My1NNB2lEw9vjd%2FyzVe9r5dSlFGNPMy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=29029192586&catId=50001519
Apple 아이폰 13 미니 512GB [자급제],"1,260,800원",https://cr.shopping.naver.com/adcr.nhn?x=jMdb2TmHAEesIlQiEM7nt%2F%2F%2F%2Fw%3D%3Dsxcqk35RcTBP7AYx%2BPQM502W2vUDKwI1jcrwR%2F6VYJTlWQE1WikGGRjsm7ORTamZ7twv6h%2F166eLC%2F1V3sS5NwzSx4ffcd46I%2FrnLDI1JydgvSrFv7htgRKF7RyqjvttIeV2b9%2FKtydjF7Jw7cYFk80Pg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGRcIO%2FsSRKHMrPSPiMPM2BfKAXVfyDB1yTbVYYpYzcFnUHxlEatbmVq7jmztE%2FywsR0o95nIPzdxjOapWr2c7TLsxo5hZ8Bu6kC6Wj0ORb6hVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRvwKcgzvehu9%2FaIjJsiZw%2FEezaLo3YojXuQJMvdaZ%2BI%2Fy%2F0X8gFBBhr6rnnTk5Nq2rF53t%2B3QoJYb4yEm4wbkgs6xyTNOpvF5JKAAUscSxRXpjrModG8ApvyDh2g%2Bv61QBxc4Kvpygo5zVB8uYEvhv94N%2FOXq06xFLlMCwNDQObjPLcqEhOiscytOptfh0D9%2BAu6tcnp1YaraO8WbMJ9BvfI6y2toISAeKMoflXyGYDo5v4YGjJCSIW1IvBxXT1wG9yFDYY%2FGzhA9eE7IwrHQfspjtEEnHZo%2B%2FVuCJHvsmHjrDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=29030296587&catId=50001519
Apple 아이폰 13 프로 맥스 1TB [자급제],"2,023,500원",https://cr.shopping.naver.com/adcr.nhn?x=xrA0QpAfmzcOceTdChFwwv%2F%2F%2Fw%3D%3DsckO33%2FFCVcEhIqOwOkn6WwkuqmZwLEA1NJZBiFaAS5hhJz9H0Ub4KLvuVTVtNMxMpWOWXN94rBNqa8Rn8%2BAkis2YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnqArgGaDBKbEfnwAwTC02FZ7ix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGHHzMul%2BE5vfQuCFyjTjI4RtJphQBHk6ArjkfIoV%2FnSvG1fUqIZ7CTqeNBeEUiuIjaAB8uIYu9siF3ut%2BuyVuCsulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqB9aPs60XaAs0yLnBVw2nhoFlY2PJxmXo%2FLApBw6QUOlmWXdAuntmcqbOFOk%2BQxKwTsYpWArfrP4OWQG6aF6ItizsHqYYQcuV8LfrQ2BMh9OramjBwCZI9AwCV4mCTWQmWr00hr0wZC7dtvq8t2AXfPiEOFB7hw3TwYX0ELw8AOXaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=29029192590&catId=50001519
Apple 아이폰 13 512GB [자급제],"1,328,900원",https://cr.shopping.naver.com/adcr.nhn?x=ZpK2gTUv8DHhcaVmqt%2BXhf%2F%2F%2Fw%3D%3DsLi7UseocaDKoHp0pJqlgvR8Laif5FICMESjaw9m6tplhJz9H0Ub4KLvuVTVtNMxM%2Frg6i0j0W6q1bSkEDPuqLM2YJUiR2hpCfKzH%2B3bscZGWVI8eMVtfjCATDTx93MqnsPT4pXZQSz4fmK4SDJwaeci30QtKP1mA7BYZPpxeJLexWvZfe2todmJfmpbNrXnqMp%2F9XPfjTZN93E2a1T98erix7jXt7MNVc9AIu4EfDZlNEwRr%2B3STfYHGn%2FB5b3e4bj7%2F%2FfKyFF3WR1QhmLffX58zNcXBkiG4xmGrrmBHunrL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGGegc2P25ebWY5fyADdlTLdoKCCrHNKTQTNT32sYCXsdG1fUqIZ7CTqeNBeEUiuIjRXHWM7gXKNzK85Lvu0ZShsulMSXmodDptJZCDmbU%2FWS8S21Oey7jc5pxS8BquOSqBDNRgebk3hlYyp7a3bInYHPU6pntGCurhu%2FV8uonTYh5X6MB3JdbnBohOi8QY2msiSQkYBPk%2BhFf27mtLsZhteeUpmWRjQRx0AvTE8geMd1CdEHD%2FHV8hpTSILi5JBNPXtX62GuOOy%2F%2BqM3pO4ffuFXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=29030496586&catId=50001519
